plot_number,trial,loc,year,env,gen,rep,nohav,rtno,prop_hav,rtwt,fyld,shtwt,tyld,dyld,hi,dm,netplot_count,netplot_area
101,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1223P0007,1,20,70,1,57,35.625,38.5,24.0625,10.33125,0.596858639,29,20,16
102,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1194P0002,1,20,67,1,56.5,35.3125,50,31.25,11.653125,0.530516432,33,20,16
103,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1195P0005,1,20,45,1,36,22.5,55.5,34.6875,8.1,0.393442623,36,20,16
104,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1303P0012,1,20,95,1,67.5,42.1875,73.5,45.9375,14.34375,0.478723404,34,20,16
105,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS13F2207P0001,1,20,80,1,66.5,41.5625,60.5,37.8125,14.13125,0.523622047,34,20,16
106,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1285P0017,1,20,92,1,67.5,42.1875,37.5,23.4375,13.921875,0.642857143,33,20,16
107,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1224P0004,1,20,65,1,59,36.875,40,25,12.16875,0.595959596,33,20,16
108,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,IITA-TMS-IBA980581,1,20,55,1,44,27.5,58.5,36.5625,9.075,0.429268293,33,20,16
109,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1016P0006,1,20,148,1,101,63.125,57.5,35.9375,16.4125,0.637223975,26,20,16
110,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1300P0008,1,20,90,1,62.5,39.0625,53,33.125,14.0625,0.541125541,36,20,16
111,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS13F2061P0005,1,20,70,1,40.5,25.3125,53.5,33.4375,8.1,0.430851064,32,20,16
112,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS13F1461P0002,1,20,75,1,58,36.25,65.5,40.9375,13.05,0.469635628,36,20,16
113,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1001P0004,1,20,85,1,68.5,42.8125,55,34.375,14.55625,0.55465587,34,20,16
114,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1049P0001,1,20,55,1,45,28.125,52.5,32.8125,9.28125,0.461538462,33,20,16
115,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1022P0006,1,20,120,1,74.5,46.5625,52.5,32.8125,14.434375,0.586614173,31,20,16
116,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1262P0002,1,20,65,1,51.5,32.1875,55,34.375,10.3,0.483568075,32,20,16
117,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1297P0019,1,20,79,1,63.5,39.6875,73.5,45.9375,13.096875,0.46350365,33,20,16
118,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1131P0001,1,10,65,0.5,50.5,31.5625,60,37.5,10.1,0.457013575,32,20,16
119,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,IITA-TMS-IBA000070,1,20,120,1,68,42.5,45,28.125,12.75,0.601769912,30,20,16
120,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,IITA-TMS-IBA982101,1,20,98,1,43,26.875,58.5,36.5625,8.86875,0.42364532,33,20,16
121,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,IITA-TMS-IBA30572,1,10,56,0.5,42.5,26.5625,62.5,39.0625,8.234375,0.404761905,31,20,16
122,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS13F1114P0001,1,20,115,1,53.5,33.4375,58.5,36.5625,10.365625,0.477678571,31,20,16
123,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMEB419,1,18,97,0.9,51.5,32.1875,56.5,35.3125,11.265625,0.476851852,35,20,16
124,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1036P0007,1,20,120,1,64.5,40.3125,52.5,32.8125,13.303125,0.551282051,33,20,16
125,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1312P0003,1,20,100,1,42.5,26.5625,65.5,40.9375,9.828125,0.393518519,37,20,16
126,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1035P0004,1,20,106,1,44.5,27.8125,30.5,19.0625,10.0125,0.593333333,36,20,16
127,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1120P0003,1,15,63,0.75,46.5,29.0625,53.5,33.4375,10.4625,0.465,36,20,16
128,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1306P0015,1,20,65,1,63.5,39.6875,60,37.5,14.2875,0.51417004,36,20,16
129,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1306P0020,1,20,100,1,80,50,68.5,42.8125,16,0.538720539,32,20,16
130,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS13F1021P0008,1,20,72,1,55,34.375,45.5,28.4375,10.65625,0.547263682,31,20,16
131,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS13F1182P0002,1,20,95,1,61,38.125,55,34.375,11.4375,0.525862069,30,20,16
132,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1035P0007,1,20,85,1,58,36.25,54,33.75,11.6,0.517857143,32,20,16
133,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1310P0004,1,20,95,1,70.5,44.0625,63,39.375,14.540625,0.528089888,33,20,16
134,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1291P0011,1,20,80,1,43.5,27.1875,52.5,32.8125,9.7875,0.453125,36,20,16
135,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1311P0002,1,20,85,1,51.5,32.1875,63.5,39.6875,10.621875,0.447826087,33,20,16
136,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1208P0007,1,14,52,0.7,35,21.875,35.5,22.1875,7.875,0.496453901,36,20,16
201,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1224P0004,2,20,102,1,62.5,39.0625,50,31.25,12.5,0.555555556,32,20,16
202,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS13F1114P0001,2,20,75,1,62.5,39.0625,48.5,30.3125,12.109375,0.563063063,31,20,16
203,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1035P0004,2,20,145,1,62.5,39.0625,45,28.125,13.671875,0.581395349,35,20,16
204,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1194P0002,2,20,100,1,65.5,40.9375,60.5,37.8125,13.509375,0.51984127,33,20,16
205,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1036P0007,2,20,122,1,65.5,40.9375,52.5,32.8125,13.91875,0.555084746,34,20,16
206,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1208P0007,2,20,108,1,64,40,48.5,30.3125,14,0.568888889,35,20,16
207,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1022P0006,2,20,98,1,50.5,31.5625,40.5,25.3125,9.784375,0.554945055,31,20,16
208,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1001P0004,2,20,126,1,93.5,58.4375,72.5,45.3125,16.3625,0.563253012,28,20,16
209,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1297P0019,2,20,97,1,51.5,32.1875,68,42.5,10.94375,0.430962343,34,20,16
210,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1291P0011,2,20,97,1,43.5,27.1875,46.5,29.0625,9.7875,0.483333333,36,20,16
211,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1120P0003,2,20,81,1,51.5,32.1875,65,40.625,10.621875,0.442060086,33,20,16
212,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1306P0015,2,20,137,1,78.5,49.0625,62.5,39.0625,19.134375,0.556737589,39,20,16
213,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1016P0006,2,20,143,1,83.5,52.1875,52,32.5,15.65625,0.616236162,30,20,16
214,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1312P0003,2,20,112,1,36.5,22.8125,60,37.5,8.440625,0.378238342,37,20,16
215,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1262P0002,2,20,96,1,71,44.375,80,50,12.86875,0.470198675,29,20,16
216,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1131P0001,2,15,95,0.75,71.5,44.6875,65.5,40.9375,13.853125,0.52189781,31,20,16
217,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1049P0001,2,20,85,1,42,26.25,52,32.5,8.1375,0.446808511,31,20,16
218,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS13F1461P0002,2,20,96,1,52.5,32.8125,64,40,10.828125,0.450643777,33,20,16
219,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1300P0008,2,20,141,1,68.5,42.8125,63.5,39.6875,15.840625,0.518939394,37,20,16
220,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1303P0012,2,20,98,1,66,41.25,65.5,40.9375,14.025,0.501901141,34,20,16
221,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS13F2061P0005,2,20,94,1,42.5,26.5625,53,33.125,9.03125,0.445026178,34,20,16
222,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS13F1182P0002,2,20,92,1,44.5,27.8125,50.5,31.5625,7.509375,0.468421053,27,20,16
223,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1223P0007,2,20,157,1,64.5,40.3125,35.5,22.1875,12.09375,0.645,30,20,16
224,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1311P0002,2,20,96,1,40.5,25.3125,45,28.125,8.1,0.473684211,32,20,16
225,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,IITA-TMS-IBA000070,2,20,106,1,59,36.875,45,28.125,11.43125,0.567307692,31,20,16
226,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,IITA-TMS-IBA982101,2,20,97,1,43.5,27.1875,60,37.5,8.428125,0.420289855,31,20,16
227,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1306P0020,2,20,97,1,46.5,29.0625,62,38.75,8.428125,0.428571429,29,20,16
228,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS13F1021P0008,2,20,107,1,64.5,40.3125,55,34.375,13.303125,0.539748954,33,20,16
229,17UYT36setAAG,Ago-Owu,2018,Ago-Owu18,TMS14F1310P0004,2,20,97,1,51.5,32.1875,41.5,25.9375,10.94375,0.553763441,34,20,16
