"TRIAL","LOC","ENV","AGROZONE","DOP","DOH","YEAR","TMEAN","TRANGE","TMAX","TMIN","RHMEAN","PRECIPITATION","WINDSPEED"
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,28.32,9.63,33.85,24.22,72.88,3.46,1.2
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,26.14,5.06,29.06,24,83.81,2.72,1.3
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.53,5.48,28.84,23.37,85.06,9.32,1.36
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.45,6.52,29.33,22.82,84.69,7.12,1.21
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.61,8.12,29.91,21.8,81.94,2.96,1.52
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.37,4.52,26.99,22.47,89.12,10.02,1.09
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.06,8.3,30.05,21.74,82.88,4.47,2.13
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.87,6.7,28.56,21.86,85.75,11.36,1.29
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.25,5.48,27.37,21.9,86,5.96,1.26
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.82,7.16,28.4,21.24,79.69,5.97,1.34
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.85,9.2,30.69,21.48,78.69,1.52,1.17
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.81,8.19,30.33,22.13,82.25,2.17,1.43
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.51,6.88,29.17,22.3,85.94,4.64,1.12
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.64,6.65,29.3,22.65,82.81,1.78,1.4
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,26.26,8.81,30.94,22.13,79.5,3.47,0.79
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.19,5.38,28.22,22.85,84.06,9.47,1.45
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.15,6.99,29.26,22.27,85.19,2.74,1.07
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.54,7.72,29.8,22.08,82.44,0.1,0.83
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,26.12,7.34,29.94,22.59,81.25,0.68,1.16
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.48,5.58,27.8,22.23,86.88,3.97,2.44
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.75,5.48,26.8,21.32,82.75,3.68,1.25
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.85,10.48,31.51,21.04,73.31,1.22,1.31
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.78,4.57,26.44,21.87,89.5,16.78,1.51
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.58,6.66,27.62,20.97,83.69,3.37,1.66
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.1,8.67,28.52,19.85,81,2.61,1.37
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.6,9.01,30.22,21.22,78.75,19.57,0.97
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.45,8.05,30.06,22.01,82.5,2.72,1.23
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.59,6.04,28.22,22.19,85.44,2.9,1.8
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.74,8.91,30.51,21.6,79.62,1.05,0.87
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.21,5.45,28.47,23.01,85.94,5.87,2.02
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.21,4.02,25.16,21.15,92.12,9.82,1.58
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.83,7.46,28.32,20.86,82.69,3.21,0.96
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.11,9.19,29.98,20.8,80.31,1.29,1.32
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.71,5.14,26.8,21.65,88.5,7.18,1.55
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.97,7.7,29.36,21.65,82.25,3.65,1.11
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.33,7.6,29.37,21.77,82.06,3.09,0.73
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.69,6.62,29.37,22.74,82.44,9.36,0.62
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.39,5.75,27.85,22.1,89.75,7.27,1.33
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.77,7.42,28.9,21.48,85.62,4.62,1.43
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.05,4.91,27.01,22.1,91.12,14.07,1.84
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.52,4.71,26.21,21.5,89.88,3.76,1.58
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.53,8.6,28.83,20.23,83.31,2.32,1.66
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.82,8.24,28.9,20.65,85.56,7.66,1.26
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.02,5.87,28.23,22.36,87,7.46,0.98
