"gen","Abuja20","Ago-Owu18","Ago-Owu19","Ago-Owu20","Ibadan18","Ibadan19","Ibadan20","Ikenne18","Ikenne19","Ikenne20","Mokwa18","Mokwa19","Onne19","Onne20","Otobi19","Ubiaja20","Umudike19"
"IITA-TMS-IBA000070",33.8719638530766,30.9684647654142,32.6561165228765,33.365922187517,36.7032077302345,40.9167440840729,32.1660212375695,30.6122733667416,29.1702573658084,31.8993562142061,33.4790280612582,25.7149600344936,34.9399258744878,25.0670417684126,39.5153652094139,29.5879836399559,32.7421826175635
"IITA-TMS-IBA30572",31.5630716877472,31.551768372654,29.7136399849218,33.8546463620501,36.7586988542013,39.7819828061054,31.2306314112711,29.3779248918059,29.828260306967,29.4863055346171,31.2385368005043,25.8618916782928,35.2685351747217,27.2341161848907,39.3886984443055,31.3365072925414,32.380509925142
"IITA-TMS-IBA980581",32.3721161162934,33.4034814371296,29.4142100989138,33.1689673375931,36.8935268331877,40.5352490760376,33.312443911699,31.4635840699001,29.3540807543078,30.909483567073,32.8336295272345,22.7256062855887,35.3560849166602,25.3061654477951,37.9404699284057,33.3337458520612,34.0698267583115
"IITA-TMS-IBA982101",32.281741438192,31.2925492195865,27.4658871864803,32.4660993168128,35.380092064059,38.4547614484928,30.7974578924127,29.5061882513114,28.6677810214503,29.1417776134857,30.6984633504045,21.9729175212135,33.2192674329448,27.1034763125734,38.4510469678289,30.7836007455787,32.390285855789
"TMEB419",34.3353587792089,35.2307908979041,33.9688315889794,35.4536673452817,39.9343906746633,42.3878719338984,34.0244957109457,33.8682811796599,31.3564415713837,32.6145451628426,37.3264631911624,27.4813762926895,38.5292399520812,29.2651937944854,39.827638637885,35.2644477045646,36.8406883011036
"TMS13F1021P0008",29.6083009787597,31.5148850796186,29.8837295671414,32.8750256785381,39.871645504594,40.4700106940826,32.3372022583558,30.2047004054634,28.139489287137,29.668314539631,34.7313216541392,21.3844755115023,33.4247222614693,25.6350008091593,38.9987632082273,29.7915085174797,35.0710226262366
"TMS13F1114P0001",34.5568436671192,32.3722069742668,33.5012987752236,38.4494727778815,37.5783613353731,42.2402850400057,35.7088628679471,31.219925590018,32.5456862017065,34.1619130206953,38.5358774568265,28.7063942693832,38.067953434264,29.7107523859526,39.9197609975811,33.4176265493795,35.1141931384533
"TMS13F1182P0002",31.6521313426603,29.3099601753113,31.6438091301552,31.6047902293765,36.5211136939346,36.9612445549323,30.0425946954451,30.4785631660577,27.9243935267548,25.9835155763294,36.4039875648336,21.5270752896914,30.2559370457699,25.5982111482044,35.7196911573934,29.3099392043528,33.1882851798865
"TMS13F1461P0002",32.5383947005162,33.8238779322823,30.8986224617529,35.4436997217139,38.8045318027879,41.7077670087048,35.0016855564866,33.8148882488101,32.9013940341721,33.6975003526152,36.4087896157346,22.1022054491017,37.4780115838639,28.113623503818,40.8491956650778,33.6495068901295,36.5423929871292
"TMS13F2061P0005",31.8118720606298,31.6847668186704,28.8717546889256,35.7158688999781,38.6959102920178,41.2959315185787,33.4224231894128,31.555330378084,28.0566913092458,28.8951278665864,37.3327653540039,24.9644580584594,37.0893379728336,29.5154759729455,42.0563506276448,31.9046136132207,35.4295482444692
"TMS13F2207P0001",36.7731795452545,34.1883304921655,33.4178980661244,35.6228542602351,40.440649041146,41.4378264337367,33.0907280243024,32.4441683179082,32.0453179735726,33.3674622775958,34.9078419920905,27.9741505264471,36.9175942426265,26.1828060858401,41.6735662037478,35.5672443877656,35.5688391672255
"TMS14F1001P0004",31.4935164463431,30.6523795472229,27.7615562708857,33.0280284788197,36.7275133502526,36.9117695176571,31.4926347706259,30.890809965264,29.3704307193606,26.4725799262167,33.9073345121224,22.1508389412351,33.2908172311993,27.4351815769049,37.7965243762048,32.3264687284964,32.423857316986
"TMS14F1016P0006",31.4721798972185,29.2284506180525,28.1787545661578,32.6078807925693,37.5571002774286,39.5168202114643,31.8217944876454,29.5729829773501,29.5620060301064,29.7919513955553,33.6859657356593,23.8266620507812,31.4038383370416,26.2948578396346,38.6483736678068,29.4075108282569,30.9304814105251
"TMS14F1022P0006",29.7118155881777,30.8334613144181,31.1325479373548,34.0212222673682,35.6059487358069,40.0603516963397,32.3035940140841,28.8677196128923,26.0181427753493,30.1914919337661,33.0045870502346,25.3253298071837,32.2197700911429,25.6417448400221,34.2312125957311,29.9414056863851,31.7018944542115
"TMS14F1035P0004",37.2336971152272,35.7832708652069,34.6388578447964,37.6077867430816,41.0494121366296,42.8042608161655,38.924976001432,35.3929700774053,33.9271339944696,35.7382657126603,39.6996004076268,30.7921193410242,37.0358563040747,30.9557767816968,43.3208987550953,36.5779825531255,39.8641182703372
"TMS14F1035P0007",35.1794701982409,32.970618309547,32.0099653675825,34.9728848325328,37.7781860185343,40.8894485552312,35.2651921757214,31.2477514739421,31.0688164070103,29.4454542216511,37.2625213165891,27.5510766196926,34.4278939938368,28.5906538553452,40.0469278959116,32.6365167943984,33.5177617196741
"TMS14F1036P0007",35.5775702508755,34.5337406337604,32.6917766430694,35.8441748462905,38.472354812551,42.2847232238384,36.1802844276071,34.9679329071211,31.5743305594139,33.4350003890537,36.7142827868335,27.7261034388412,35.4742950682337,29.1881078247543,41.7189378306645,34.1460351367989,37.7757947502302
"TMS14F1049P0001",35.9437589866714,34.6297077205903,33.7383630253712,39.5635098023882,40.9949161742964,44.0770531635841,36.7962483407687,34.4901303833578,31.3944970991477,34.9017714795168,38.3881636439182,27.2728961872716,40.6912213440269,30.3299395636651,43.71562399679,33.7847752468083,37.7807485150543
"TMS14F1120P0003",32.209339722833,32.2682507475663,28.5093983659042,30.2093334449886,35.3365969739571,38.1900937066286,30.6262966231886,28.178496298467,27.5819513194927,25.0164534430306,35.0205952533137,21.4374588337279,30.4111952235013,24.231279985968,37.8841032385549,29.0945711165103,31.5476822159875
"TMS14F1131P0001",36.3113137786338,32.2895020101716,31.6115153480297,34.6622992039462,38.6294154558273,41.1902947381136,34.7611014595353,30.1901417996894,31.5126673831659,32.4846856371054,35.4213266446593,24.4285075657569,36.9537441550478,27.5716948183398,40.5314827667295,31.980006405195,35.897288945879
"TMS14F1194P0002",36.204836474236,33.7022337251819,34.6887812286175,37.7212754675889,35.156532153527,34.9609333686785,32.2553049419646,36.1259765036117,31.0005728438069,35.0962804606632,38.4288024852196,26.7838565037834,37.0964303860171,27.4148976688572,42.8439383899538,34.1827963450758,37.0514438551792
"TMS14F1195P0005",37.1240049213119,34.1436563912398,33.5055598360234,36.4726099114922,40.5550603595952,42.3775493901779,35.1977095077201,35.5606362356726,34.0406001766883,35.0133012186361,37.9527108018549,28.8154087608179,38.1404653872395,30.719800626375,42.5528099001763,36.0609178123902,39.3577256306557
"TMS14F1208P0007",35.5961195692641,33.7615237818332,33.2569444507111,34.7946866539819,39.6321394250655,42.3731535683432,36.0419331020813,32.4967655253877,31.2834529011284,32.8063632397937,36.422348933898,27.8456634334626,37.3770298482831,29.6967770191947,41.6620657603662,31.6808611472303,37.5968878353499
"TMS14F1223P0007",34.7518304688576,31.6652728445611,30.5666748188842,33.0526508049947,38.2501952632606,40.3875975864066,33.5811800546911,31.5322459641826,29.0563185773043,31.718174986047,36.4748688712956,27.4796280917348,35.3291591984593,27.0833345521964,38.3818627830809,32.3967754789164,35.403582907536
