gen,env,dyld,fyld,hi,tyld,dm
IITA-TMS-IBA000070,Abuja20,10.5696,29.7332,0.6869,11.6985,35.0000
IITA-TMS-IBA000070,Ago-Owu18,11.7914,38.5153,0.5767,28.1061,30.6667
IITA-TMS-IBA000070,Ago-Owu19,12.0938,35.5208,0.5026,35.3125,34.0000
IITA-TMS-IBA000070,Ago-Owu20,19.5298,58.5750,0.6934,25.8475,33.2000
IITA-TMS-IBA000070,Ibadan18,15.9040,43.1016,0.7034,18.5362,36.3333
IITA-TMS-IBA000070,Ibadan19,21.4098,51.4425,0.7036,21.3017,41.5667
IITA-TMS-IBA000070,Ibadan20,12.8640,40.7946,0.6853,18.6300,31.6500
IITA-TMS-IBA000070,Ikenne18,13.2025,43.5698,0.6510,23.4216,30.3333
IITA-TMS-IBA000070,Ikenne19,7.7844,26.5625,0.5932,18.1250,29.0000
IITA-TMS-IBA000070,Ikenne20,15.1307,46.4297,0.5183,43.3862,32.6000
IITA-TMS-IBA000070,Mokwa18,15.8640,48.1900,0.6447,26.7228,32.6667
IITA-TMS-IBA000070,Mokwa19,9.2101,33.9657,0.4770,36.2508,27.0667
IITA-TMS-IBA000070,Onne19,7.0103,19.8775,0.5685,15.4360,35.2667
IITA-TMS-IBA000070,Onne20,2.2811,9.6819,0.6796,4.1523,23.8550
IITA-TMS-IBA000070,Otobi19,22.5840,56.8421,0.7353,20.0934,39.8667
IITA-TMS-IBA000070,Ubiaja20,4.2283,15.1300,0.6764,7.1353,28.6000
IITA-TMS-IBA000070,Umudike19,14.1696,45.7203,0.7236,17.4264,31.1000
IITA-TMS-IBA30572,Abuja20,4.7127,15.0002,0.5438,15.8315,31.1000
IITA-TMS-IBA30572,Ago-Owu18,10.9925,34.5127,0.4394,40.3923,31.6667
IITA-TMS-IBA30572,Ago-Owu19,5.6573,19.0625,0.3966,29.4792,29.6667
IITA-TMS-IBA30572,Ago-Owu20,8.0226,21.0377,0.5025,22.6202,34.3500
IITA-TMS-IBA30572,Ibadan18,13.4112,36.9871,0.5714,28.4148,36.6667
IITA-TMS-IBA30572,Ibadan19,15.8868,39.5258,0.5515,32.2184,40.1000
IITA-TMS-IBA30572,Ibadan20,5.1865,17.0005,0.5284,16.0298,30.0500
IITA-TMS-IBA30572,Ikenne18,9.6622,33.6917,0.5627,26.0442,28.6667
IITA-TMS-IBA30572,Ikenne19,7.0719,23.1250,0.5367,20.1042,30.3333
IITA-TMS-IBA30572,Ikenne20,9.3109,31.9610,0.4094,46.4487,29.1000
IITA-TMS-IBA30572,Mokwa18,10.6285,34.5674,0.4384,41.7929,29.3333
IITA-TMS-IBA30572,Mokwa19,4.8246,17.0907,0.3853,28.7508,27.9000
IITA-TMS-IBA30572,Onne19,4.2479,11.6864,0.5923,8.1555,36.1000
IITA-TMS-IBA30572,Onne20,1.4425,5.1352,0.5413,4.3165,27.9650
IITA-TMS-IBA30572,Otobi19,18.1101,45.4463,0.6088,29.4684,39.9000
IITA-TMS-IBA30572,Ubiaja20,4.3749,13.3252,0.5774,8.8638,31.3500
IITA-TMS-IBA30572,Umudike19,8.2105,26.7619,0.6543,14.3222,30.8000
IITA-TMS-IBA980581,Abuja20,12.3220,38.5656,0.5748,26.8570,32.1500
IITA-TMS-IBA980581,Ago-Owu18,8.6034,25.0169,0.4539,30.5349,34.5000
IITA-TMS-IBA980581,Ago-Owu19,5.6656,19.4792,0.3228,41.2500,29.0000
IITA-TMS-IBA980581,Ago-Owu20,12.5128,37.9680,0.4630,44.7998,32.9000
IITA-TMS-IBA980581,Ibadan18,13.8331,37.7561,0.5943,25.7370,36.6667
IITA-TMS-IBA980581,Ibadan19,14.8524,36.1092,0.5982,24.3642,41.0333
IITA-TMS-IBA980581,Ibadan20,9.0347,26.2769,0.4484,33.2649,34.3500
IITA-TMS-IBA980581,Ikenne18,9.4637,29.7511,0.6189,18.3544,31.6667
IITA-TMS-IBA980581,Ikenne19,8.7521,29.5833,0.6125,18.9583,29.3333
IITA-TMS-IBA980581,Ikenne20,12.6149,40.5235,0.4647,47.3550,31.1000
IITA-TMS-IBA980581,Mokwa18,12.5937,40.1025,0.4212,55.2519,31.6667
IITA-TMS-IBA980581,Mokwa19,4.1047,19.0421,0.3455,35.5922,20.5333
IITA-TMS-IBA980581,Onne19,6.7671,18.6275,0.6167,12.3110,36.0000
IITA-TMS-IBA980581,Onne20,1.2654,4.7762,0.5247,4.1530,24.3150
IITA-TMS-IBA980581,Otobi19,21.1897,55.9616,0.6125,36.0930,37.4667
IITA-TMS-IBA980581,Ubiaja20,8.7347,25.8879,0.6889,11.0732,34.1000
IITA-TMS-IBA980581,Umudike19,14.5060,44.9387,0.7926,13.1146,33.4605
IITA-TMS-IBA982101,Abuja20,8.9737,26.9207,0.6002,16.3235,33.1000
IITA-TMS-IBA982101,Ago-Owu18,7.9466,25.0778,0.4145,35.7102,31.6667
IITA-TMS-IBA982101,Ago-Owu19,6.0396,22.7083,0.4199,32.9167,26.6667
IITA-TMS-IBA982101,Ago-Owu20,11.7323,36.1735,0.4586,42.5334,32.5950
IITA-TMS-IBA982101,Ibadan18,7.8112,22.7787,0.4390,29.4565,35.0000
IITA-TMS-IBA982101,Ibadan19,13.0369,33.7550,0.5596,26.1767,38.5667
IITA-TMS-IBA982101,Ibadan20,6.3102,20.9780,0.4635,25.6186,30.2000
IITA-TMS-IBA982101,Ikenne18,9.5012,32.1469,0.5666,24.3960,29.3333
IITA-TMS-IBA982101,Ikenne19,7.3312,25.3125,0.5226,23.1250,29.0000
IITA-TMS-IBA982101,Ikenne20,12.0637,41.4297,0.4339,54.1987,29.0500
IITA-TMS-IBA982101,Mokwa18,9.7868,32.7850,0.4104,45.3828,29.0000
IITA-TMS-IBA982101,Mokwa19,4.2297,17.7441,0.6750,10.0319,17.2000
IITA-TMS-IBA982101,Onne19,8.3774,24.5650,0.6838,11.5819,33.2667
IITA-TMS-IBA982101,Onne20,2.2977,7.8697,0.5423,6.4808,28.4000
IITA-TMS-IBA982101,Otobi19,24.6561,63.1546,0.6314,37.3642,38.9333
IITA-TMS-IBA982101,Ubiaja20,8.0083,25.2979,0.5721,18.0570,30.9500
IITA-TMS-IBA982101,Umudike19,10.5044,34.0603,0.6184,21.2939,31.7333
TMEB419,Abuja20,8.2632,24.3292,0.6177,14.6361,33.8000
TMEB419,Ago-Owu18,11.7539,32.8912,0.4999,32.6214,35.6667
TMEB419,Ago-Owu19,8.4740,24.4792,0.4475,30.2083,34.6667
TMEB419,Ago-Owu20,14.7006,41.0834,0.4812,44.9592,35.0000
TMEB419,Ibadan18,11.3065,28.2961,0.5258,24.9414,40.0000
TMEB419,Ibadan19,11.2244,26.5675,0.5099,24.5934,42.5667
TMEB419,Ibadan20,8.6641,26.3972,0.5369,22.2813,32.7000
TMEB419,Ikenne18,9.2795,27.2156,0.5572,21.8591,34.0000
TMEB419,Ikenne19,5.5406,17.6042,0.3847,27.1875,31.0000
TMEB419,Ikenne20,14.5480,45.0463,0.5055,40.0302,32.3500
