"loc","year","env","trial","rep","gen","prop_hav","trait","y"
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"TMS14F1223P0007",1,"fyld",35.625
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"TMS14F1194P0002",1,"fyld",35.3125
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"TMS14F1195P0005",1,"fyld",22.5
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"TMS14F1303P0012",1,"fyld",42.1875
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"TMS13F2207P0001",1,"fyld",41.5625
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"TMS14F1285P0017",1,"fyld",42.1875
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"TMS14F1224P0004",1,"fyld",36.875
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"IITA-TMS-IBA980581",1,"fyld",27.5
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"TMS14F1016P0006",1,"fyld",63.125
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"TMS14F1300P0008",1,"fyld",39.0625
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"TMS13F2061P0005",1,"fyld",25.3125
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"TMS13F1461P0002",1,"fyld",36.25
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"TMS14F1001P0004",1,"fyld",42.8125
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"TMS14F1049P0001",1,"fyld",28.125
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"TMS14F1022P0006",1,"fyld",46.5625
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"TMS14F1262P0002",1,"fyld",32.1875
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"TMS14F1297P0019",1,"fyld",39.6875
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"TMS14F1131P0001",0.5,"fyld",31.5625
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"IITA-TMS-IBA000070",1,"fyld",42.5
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"IITA-TMS-IBA982101",1,"fyld",26.875
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"IITA-TMS-IBA30572",0.5,"fyld",26.5625
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"TMS13F1114P0001",1,"fyld",33.4375
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"TMEB419",0.9,"fyld",32.1875
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"TMS14F1036P0007",1,"fyld",40.3125
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"TMS14F1312P0003",1,"fyld",26.5625
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"TMS14F1035P0004",1,"fyld",27.8125
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"TMS14F1120P0003",0.75,"fyld",29.0625
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"TMS14F1306P0015",1,"fyld",39.6875
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"TMS14F1306P0020",1,"fyld",50
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"TMS13F1021P0008",1,"fyld",34.375
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"TMS13F1182P0002",1,"fyld",38.125
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"TMS14F1035P0007",1,"fyld",36.25
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"TMS14F1310P0004",1,"fyld",44.0625
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"TMS14F1291P0011",1,"fyld",27.1875
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"TMS14F1311P0002",1,"fyld",32.1875
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",1,"TMS14F1208P0007",0.7,"fyld",21.875
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"TMS14F1224P0004",1,"fyld",39.0625
