env,trait,trial,min,max,mean,std,gen_var,res_var,pev,pheno_var,H2,cv,Accr
Abuja20,dm,19UYT36setAAB,25.1,39.5,34.091803279,3.2053754373,6.8172,3.2670,1.7426926181,10.084127794,0.6760297735,5.3017805362,0.8627671588
Abuja20,dyld,19UYT36setAAB,1.837875,13.7295,8.0248258197,3.0016108556,0.5573,5.6209,0.4818520248,6.1781660115,0.0902054618,29.54376464,0.3679510262
Abuja20,fyld,19UYT36setAAB,4.875,42.375,23.550204918,8.5189190469,9.0068,40.0972,6.6797663335,49.103985434,0.1834223196,26.888243552,0.5082925959
Abuja20,hi,19UYT36setAAB,0.4430379747,0.7942028986,0.6205754683,0.0967006451,0.003801,0.001386,0.0008259053,0.005187252,0.7327628025,5.9996031453,0.8847118904
Abuja20,tyld,19UYT36setAAB,3,28.3125,14.336065574,6.1595979045,10.2880,26.2898,6.4504717843,36.57782289,0.2812634626,35.765459503,0.6107458078
Ago-Owu18,dm,17UYT36setAAG,26,40,32.962616822,2.602340143,3.0174,3.8500,0.9668345568,6.8674490066,0.4393843431,5.9526267404,0.824369767
Ago-Owu18,dyld,17UYT36setAAG,5.521875,19.134375,11.320648364,2.4881168702,2.3608,3.4344,0.8344808658,5.7951489036,0.4073731764,16.37011202,0.8040674537
Ago-Owu18,fyld,17UYT36setAAG,17.8125,63.125,34.506425234,7.9961938846,30.0790,30.5840,8.4629092624,60.663024996,0.4958381127,16.026809222,0.847728908
Ago-Owu18,hi,17UYT36setAAG,0.3658536585,0.671957672,0.5029869192,0.066071164,0.002952,0.001293,0.0004620527,0.0042446987,0.6954403517,7.1483024992,0.9184087443
Ago-Owu18,tyld,17UYT36setAAG,19.0625,50,33.78796729,6.1593829245,20.5799,19.1425,5.4560316355,39.722355788,0.5180936126,12.949016217,0.8572545715
Ago-Owu19,dm,18UYT36setAAG,24,38,31.490740741,2.9968686785,4.1640,4.9458,1.2638729185,9.1097883598,0.4570930739,7.0621015523,0.8345524472
Ago-Owu19,dyld,18UYT36setAAG,4.621875,16.89375,8.8399305556,2.7328426893,4.3715,2.9960,0.9118023117,7.3675074043,0.5933457976,19.580513164,0.8896180105
Ago-Owu19,fyld,18UYT36setAAG,14.6875,49.6875,27.960069444,7.8199681984,34.1818,25.7737,7.6244194973,59.955537988,0.5701192436,18.15726402,0.8814448903
Ago-Owu19,hi,18UYT36setAAG,0.2537313433,0.6617647059,0.4526522956,0.097688272,0.003277,0.006192,0.0013222193,0.0094688506,0.3460993689,17.383602537,0.7723570577
Ago-Owu19,tyld,18UYT36setAAG,15.625,59.0625,34.048032407,9.1647355559,9.3652,75.8314,6.9037331767,85.196630084,0.1099243326,25.576001753,0.512669334
Ago-Owu20,dm,19UYT36setAAG,27.9,41.5,34.864861111,2.9981299303,4.0172,4.8024,1.5727199133,8.8195726587,0.4554846719,6.2855152812,0.7800650762
Ago-Owu20,dyld,19UYT36setAAG,7.4153125,20.28425,14.327915104,2.9555050635,4.4486,4.0841,1.5187887408,8.5326623858,0.5213571576,14.104739382,0.8115349862
Ago-Owu20,fyld,19UYT36setAAG,23.3125,60.4375,41.391493056,9.4780950727,38.7858,48.8594,15.952502975,87.645203873,0.4425324853,16.887399126,0.7672698474
Ago-Owu20,hi,19UYT36setAAG,0.3498201439,0.7402258905,0.5502329536,0.0813073252,0.004651,0.002183,0.0010379536,0.0068338874,0.6805066472,8.4921611303,0.8813673771
Ago-Owu20,tyld,19UYT36setAAG,14.625,62.9375,34.275528169,10.328583656,70.1243,42.2036,18.528470962,112.32784362,0.6242822837,18.95354244,0.857774258
Ibadan18,dm,17UYT36setAIB,30,46,38.525773196,3.2245567638,4.0386,5.0636,1.2988646963,9.1022858872,0.4436959206,5.8409030093,0.8236450326
Ibadan18,dyld,17UYT36setAIB,2.025,24.7,14.309877577,4.4297684798,8.2470,10.0264,2.6368510231,18.273388009,0.4513131784,22.127680106,0.8247825376
Ibadan18,fyld,17UYT36setAIB,5.625,65,36.774872449,11.023813477,54.3512,63.7986,16.848721309,118.14974066,0.4600192966,21.719725459,0.8306639199
Ibadan18,hi,17UYT36setAIB,0.2444444444,0.8241758242,0.5918254957,0.1131531583,0.006041,0.006817,0.0018258415,0.0128575548,0.4698190298,13.950751038,0.83531107
Ibadan18,tyld,17UYT36setAIB,10,46.875,24.969387755,8.8843344484,33.8248,39.6343,10.473775816,73.459089911,0.4604580499,25.213172014,0.8308745039
Ibadan19,dm,18UYT36setAIB,29.7,45.9,40.690291262,3.0764926096,4.9939,3.9001,1.2838159146,8.8940015566,0.5614920572,4.8534050105,0.8619302533
Ibadan19,dyld,18UYT36setAIB,4.4533125,29.054,16.998993932,4.8952940167,10.8740,9.6290,2.8548570356,20.503021231,0.5303618394,18.254393201,0.8587553511
Ibadan19,fyld,18UYT36setAIB,5,73,41.378004808,12.083091107,60.1547,56.2649,16.225773695,116.41966787,0.5167059385,18.127977841,0.8545560568
Ibadan19,hi,18UYT36setAIB,0.3738489871,0.7972805933,0.6313291501,0.0814024728,0.003666,0.002789,0.0008609132,0.0064550508,0.567926613,8.3651310644,0.874735663
Ibadan19,tyld,18UYT36setAIB,6.25,37.625,23.489783654,6.4134401136,15.0329,17.3672,4.6497026123,32.400094419,0.4639783585,17.741293607,0.8310830913
Ibadan20,dm,19UYT36setAIB,26.7,43.2,33.739705882,3.5522597267,5.0699,7.7559,2.40510657,12.825770869,0.3952899183,8.254182192,0.7249899685
Ibadan20,dyld,19UYT36setAIB,2.0269375,13.471,8.5336663603,2.3706096742,2.0789,3.2783,0.979650871,5.3571865858,0.388057758,21.21719382,0.7271618102
Ibadan20,fyld,19UYT36setAIB,7.0625,44.3125,25.322610294,6.9557135383,17.6066,30.5926,8.7060675535,48.19923621,0.3652884297,21.842372753,0.7110015151
Ibadan20,hi,19UYT36setAIB,0.2634032634,0.6972157773,0.5381421626,0.0866977569,0.003937,0.003053,0.0012331055,0.0069901126,0.5632293046,10.267667846,0.8287300297
Ibadan20,tyld,19UYT36setAIB,11.125,38.5625,21.676470588,6.2330080696,11.4147,27.6093,6.5498198861,39.023968796,0.2925042885,24.240359305,0.6528347484
