"gen","Abuja20","Ago-Owu18","Ago-Owu19","Ago-Owu20","Ibadan18","Ibadan19","Ibadan20","Ikenne18","Ikenne19","Ikenne20","Mokwa18","Mokwa19","Onne19","Onne20","Otobi19","Ubiaja20","Umudike19"
"IITA-TMS-IBA000070",13.3914459087978,30.2817391528451,32.6734240060263,31.996293009088,23.1138955999721,21.5155079766911,19.5629543138755,21.9434062206455,16.3651779341817,45.7952925234522,35.6320291009036,28.1109140830857,12.657611935188,5.94051461354426,23.2512007734306,10.6139616641745,15.4328066004981
"IITA-TMS-IBA30572",15.9932345424139,35.5663100143704,33.0929655506345,34.0000851693846,26.9974232944968,27.5215093661599,20.1169910017663,24.3374685659357,18.295198788135,47.7477028535698,39.6010161820257,28.1160920178206,8.28242570215976,6.77156308941771,27.3022534932139,12.0325204965871,15.2602927159783
"IITA-TMS-IBA980581",19.4995165287274,33.9861344969177,36.7717547824916,37.758054204806,27.7057207897568,24.9095397588557,26.58213403221,21.8202238016999,18.4014196802079,49.4909844936966,43.3915444693632,31.1093200154414,11.7077444735222,7.91959710579149,30.0955649896866,14.6763792503022,17.0430543427797
"IITA-TMS-IBA982101",18.0462487055561,36.1965200047306,36.011442321012,38.1842763122667,29.3427063905132,26.2748524687761,24.9675815466859,25.2014981382543,21.2219381450873,50.9149680554927,42.553216446649,29.7805128049856,11.5279686575068,9.36777706268654,31.5855256726062,19.3317732514065,19.7313939259354
"TMEB419",15.7420347082189,33.5775665862578,33.8282246344452,37.2464533873432,26.6636900592344,24.4318967077431,22.472771067625,22.5720692422122,22.6907159560346,47.9670837841292,39.7812330605111,28.396529744678,9.66398614665564,7.90187524447024,27.1644337687841,17.3033624438953,16.5829842216302
"TMS13F1021P0008",18.9265894010297,33.3565142517332,35.4372042673911,38.266055560837,27.2081093723414,23.7104404388706,22.5529186055971,25.7562624531413,17.5206919068338,47.9065368869488,39.3119336723574,28.623710176885,10.555245573848,8.05848711524721,27.8488211667994,14.6451029230758,16.5650266083103
"TMS13F1114P0001",14.2080205337644,33.0805381076925,34.0939349181383,33.3507296760936,29.7570817953406,23.5913449239921,20.7241769531954,22.5079896475625,16.2312023057932,46.8600816174425,37.5594557348821,25.3456761811066,8.80500475720926,10.2638791899261,24.2673386874504,13.1475659727568,16.3459653027779
"TMS13F1182P0002",18.9343076517607,35.038540073358,39.2103263126717,38.86531080083,29.1193171387581,27.5000552997634,23.3956086932069,25.2465622020788,23.003514998582,52.3258914510687,40.2297094198884,30.3111722681305,13.3367081714422,10.8215835600374,30.4215332969879,17.8792224527346,21.2504059569558
"TMS13F1461P0002",17.6999933110594,37.8531873188878,34.5055412540574,37.4156520696544,29.0785953468922,22.3665880410967,23.1583377986219,26.9179799232279,19.1210858077934,49.895062075915,41.6564512456344,29.1676304591541,11.8033350709395,8.74073898457537,27.6642192259823,15.7498238261953,17.5416002871392
"TMS13F2061P0005",14.2269190711305,33.0553091290586,35.4005161745498,35.5585351506208,27.6436176951681,23.578627107262,22.1401672167989,22.810234645014,15.3333611352476,48.1661916971051,39.0468651230474,27.8522162503223,11.7266030181789,6.65214840504697,28.3440077881628,13.1240876123674,15.5749202621343
